Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
63.196294,-9.781858521,-0.02454895,0.974323883
63.216304,-9.796977081,-0.03158432,0.97582077
63.236313,-9.785001984,-0.020657043,0.977916412
63.256322,-9.787397003,-0.03158432,0.9794133
63.276331,-9.7900914,-0.015118561,0.981958008
63.296341,-9.780810699,-0.011975098,0.978664856
63.31635,-9.786349182,-0.013172607,0.97237793
63.336359,-9.765392761,-0.01407074,0.975521393
63.356369,-9.782906342,-0.026494904,0.968935089
63.376378,-9.776769104,-0.0199086,0.972826996
63.396387,-9.806407471,-0.040715332,0.97701828
63.416397,-9.781409454,-0.033380585,0.972228241
63.436406,-9.808203735,-0.035925293,0.985101471
63.456415,-9.793983307,-0.030686188,0.96534256
63.476424,-9.805808716,-0.034877472,0.980012054
63.496434,-9.785600739,-0.024848328,0.982107697
63.516443,-9.790690155,-0.026794281,0.988694
63.536452,-9.76673996,-0.023800507,0.978664856
63.556462,-9.770781555,-0.019609222,0.971629486
63.576471,-9.767638092,-0.017663269,0.972677307
63.59648,-9.777667236,-0.006286926,0.972527618
63.61649,-9.769883423,-0.01751358,0.971928864
63.636499,-9.774673462,-0.016166382,0.976419525
63.656508,-9.787846069,-0.013471985,0.966989136
63.676518,-9.781259766,-0.013621674,0.978365479
63.69652404,-9.806706848,-0.038919067,0.985101471
63.71653304,-9.784103851,-0.03278183,0.966091003
63.73654304,-9.804012451,-0.047601013,0.981808319
63.75655204,-9.780062256,-0.041613464,0.983754272
63.77656104,-9.800419922,-0.048050079,0.983604584
63.79657104,-9.778565369,-0.031135254,0.988843689
63.81658004,-9.78425354,-0.03397934,0.977916412
63.83658904,-9.770631866,-0.02454895,0.974174194
63.85659904,-9.767488403,-0.017663269,0.975970459
63.87660804,-9.762997742,-0.018561401,0.983754272
63.89661704,-9.780062256,-0.005987549,0.964444427
63.91662604,-9.78664856,-0.007185059,0.963695984
63.93663604,-9.776469727,-0.008831635,0.992735596
63.95664504,-9.792935486,-0.017812958,0.992136841
63.97665404,-9.779762878,-0.018860779,0.976269836
63.99666404,-9.791588287,-0.025896149,0.99228653
64.01667304,-9.785151672,-0.030835876,0.981209564
64.03668204,-9.791139221,-0.033530273,0.987197113
64.05669204,-9.772877197,-0.042212219,0.987646179
64.07670104,-9.79712677,-0.04326004,0.987646179
64.09671004,-9.77138031,-0.023201752,0.973874817
64.11672004,-9.793534241,-0.040715332,0.985550537
64.13672904,-9.777367859,-0.018561401,0.974024506
64.15673804,-9.791438599,-0.020357666,0.983155518
64.17674804,-9.782606964,-0.013471985,0.982706451
64.19675704,-9.783654785,-0.018561401,0.979562988
64.21676604,-9.787247314,-0.017663269,1.001267853
64.23677504,-9.781110077,-0.01871109,0.993484039
64.25678504,-9.801318054,-0.017812958,0.984502716
64.27679404,-9.775721283,-0.02694397,0.983903961
64.29680304,-9.80416214,-0.024249573,0.986298981
64.31681304,-9.783355408,-0.03397934,0.985101471
64.33682204,-9.803713074,-0.037871246,0.980161743
64.35683104,-9.791737976,-0.025596771,0.983754272
64.37684104,-9.808652802,-0.040116577,0.990340576
64.39685004,-9.790241089,-0.040266266,0.98165863
64.41685904,-9.788744202,-0.044008484,0.981808319
64.43686804,-9.785900116,-0.022453308,0.986897736
64.45687804,-9.790839844,-0.032632141,0.989292755
64.47688704,-9.779912567,-0.031734009,0.986298981
64.49689604,-9.785001984,-0.020956421,0.99812439
64.51690604,-9.792037354,-0.023800507,0.991837463
64.53691504,-9.783205719,-0.011076965,0.998423767
64.55692404,-9.785001984,-0.020357666,0.98525116
64.57693304,-9.776469727,-0.013921051,0.991238708
64.59694304,-9.785301361,-0.021255798,0.98405365
64.61695204,-9.778116302,-0.014220428,0.990939331
64.63696104,-9.791139221,-0.02574646,0.984802094
64.65697104,-9.785001984,-0.038919067,0.983305206
64.67698004,-9.812694397,-0.036074982,0.988244934
64.69699242,-9.784552917,-0.022602997,0.97821579
64.71700142,-9.801916809,-0.044906616,0.982107697
64.73701142,-9.773326263,-0.032632141,0.977167969
64.75702042,-9.79128891,-0.028889923,0.983454895
64.77702942,-9.77138031,-0.014519806,0.984802094
64.79703842,-9.789492645,-0.020507355,0.994382172
64.81704842,-9.777966614,-0.014968872,0.977916412
64.83705742,-9.776769104,-0.015867004,0.98749649
64.85706642,-9.786199493,-0.019309845,0.993184662
64.87707542,-9.775122528,-0.010777588,0.987795868
64.89708542,-9.801318054,-0.012424164,0.996028748
64.91709442,-9.783355408,-0.012124786,0.988694
64.93710342,-9.807155914,-0.030985565,0.988843689
64.95711242,-9.782008209,-0.022602997,0.986448669
64.97712242,-9.802216187,-0.038769379,0.994232483
64.99713142,-9.791588287,-0.03158432,0.984652405
65.01714042,-9.806706848,-0.038919067,0.99228653
65.03714942,-9.779463501,-0.022902374,0.983604584
65.05715942,-9.78305603,-0.023800507,0.982556763
65.07716842,-9.779014435,-0.028440857,0.980161743
65.09717742,-9.774224396,-0.039068756,0.983903961
65.11718642,-9.778265991,-0.027243347,0.979862366
65.13719542,-9.780511322,-0.026494904,0.990639954
65.15720542,-9.780661011,-0.019758911,0.982706451
65.17721442,-9.782457275,-0.013771362,0.990490265
65.19722342,-9.794432373,-0.019309845,0.991388397
65.21723242,-9.777068481,-0.012723541,0.998723145
65.23724242,-9.811496887,-0.017363892,0.989741821
65.25725142,-9.780511322,-0.020657043,0.991538086
65.27726042,-9.790989532,-0.033829651,0.990639954
